file_path,quality_score
/home/xjc/data/CAN_Stress/A01FB9_220909-132302__1585732/BVP.csv,0.7903111712156139
/home/xjc/data/CAN_Stress/A02160_230907-150540__1783066/BVP.csv,0.7139273348052867
/home/xjc/data/CAN_Stress/A01FB9_221026-204807__1622559/BVP.csv,0.6354181489206999
/home/xjc/data/CAN_Stress/A02160_231102-165646__1806717/BVP.csv,0.6879930691954927
/home/xjc/data/CAN_Stress/A01FB9_220421-141116__1496787/BVP.csv,0.77304494307064
/home/xjc/data/CAN_Stress/A02160_230929-153047__1791589/BVP.csv,0.7178901552669485
/home/xjc/data/CAN_Stress/A02160_220929-123711__1599803/BVP.csv,0.5845938727233353
/home/xjc/data/CAN_Stress/A01F4C_230128-160508__1672354/BVP.csv,0.6153470314973065
/home/xjc/data/CAN_Stress/A01BB3_220930-175332__1599814/BVP.csv,0.708920547929708
/home/xjc/data/CAN_Stress/A02160_231109-160804__1810544/BVP.csv,0.7059830354778309
/home/xjc/data/CAN_Stress/A01BB3_220910-133655__1585738/BVP.csv,0.5583126727907222
/home/xjc/data/CAN_Stress/A01FB9_220521-160743__1517951/BVP.csv,0.7496837822575607
/home/xjc/data/CAN_Stress/A02160_230120-143200__1668741/BVP.csv,0.5967570213225921
/home/xjc/data/CAN_Stress/A02160_230121-150054__1668740/BVP.csv,0.6672492334819149
/home/xjc/data/CAN_Stress/A02160_221206-180500__1649887/BVP.csv,0.6085374211790352
/home/xjc/data/CAN_Stress/A01BB3_220401-123636__1482498/BVP.csv,0.6696121381173371
/home/xjc/data/CAN_Stress/A01FB9_221022-190438__1622555/BVP.csv,0.6304306928749225
/home/xjc/data/CAN_Stress/A02160_231107-153205__1808825/BVP.csv,0.6621275605638569
/home/xjc/data/CAN_Stress/A01BB3_220901-164319__1581487/BVP.csv,0.7775658757350925
/home/xjc/data/CAN_Stress/A01BB3_221012-153444__1609070/BVP.csv,0.6353826274706493
/home/xjc/data/CAN_Stress/A01BB3_220917-133423__1589760/BVP.csv,0.655873121973823
